,Rank,State,Area (Sq Km),Area (Sq mile),% Share,Country,World rank
0,8,Andhra Pradesh,162970,62923,4.96,Tunisia,93
1,15,Arunachal Pradesh,83743,32333,2.55,Austria,114
2,17,Assam,78438,30285,2.39,Czech Republic,116
3,13,Bihar,94163,36357,2.86,Hungary,110
4,10,Chhattisgarh,135192,52198,4.11,Greece,97
5,29,Goa,3702,1429,0.11,Cabo Verde,175
6,6,Gujarat,196244,75770,5.97,Senegal,88
7,21,Haryana,44212,17070,1.34,Estonia,132
8,18,Himachal Pradesh,55673,21495,1.69,Croatia,127
9,5,Jammu & Kashmir,222236,85806,6.76,Guyana,85
10,16,Jharkhand,79716,30779,2.42,Czech Republic,116
11,7,Karnataka,191791,74051,5.83,Syria,89
12,22,Kerala,38852,15001,1.18,Bhutan,136
13,2,Madhya Pradesh,308252,119017,9.38,Oman,71
14,3,Maharashtra,307713,118809,9.36,Oman,71
15,24,Manipur,22327,8620,0.68,El Salvador,152
16,23,Meghalaya,22429,8660,0.68,El Salvador,152
17,25,Mizoram,21081,8139,0.64,El Salvador,152
18,26,Nagaland,16579,6401,0.50,Swaziland,158
19,9,Odisha,155707,60119,4.74,Tunisia,93
20,20,Punjab,50362,19445,1.53,Costa Rica,129
21,1,Rajasthan,342239,132139,10.41,Congo,64
22,28,Sikkim,7096,2740,0.22,West Bank,171
23,11,Tamil Nadu,130060,50216,3.96,Nicaragua,98
24,12,Telangana,112077,43273,3.41,Honduras,103
25,27,Tripura,10486,4049,0.32,Lebanon,169
26,4,Uttar Pradesh,240928,93023,7.33,Uganda,81
27,19,Uttarakhand,53483,20650,1.63,Croatia,127
28,14,West Bengal,88752,34267,2.70,Jordan,112
29,UT1,A. & N. Islands,8249,3185,0.25,Cyprus,170
30,UT4,Chandigarh,114,44,0.00347,Jersey,224
31,UT2,D.& N. Haveli,491,190,0.015,Andorra,491
32,UT5,Daman & Diu,111,43,0.00338,Jersey,224
33,NCT,Delhi,1483,573,0.045,Faroe Islands,182
34,UT6,Lakshadweep,30,12,0.00091,Macau,236
35,UT3,Puducherry,490,189,0.015,Andorra,491
36,,India,3287469,1269298,-,-,-
